id,,ISO3,Name
4,,AFG,Afghanistan
8,,ALB,Albania
12,,DZA,Algeria
20,,AND,Andorra
24,,AGO,Angola
28,,ATG,Antigua and Barbuda
32,,ARG,Argentina
51,,ARM,Armenia
36,,AUS,Australia
40,,AUT,Austria
31,,AZE,Azerbaijan
44,,BHS,Bahamas
48,,BHR,Bahrain
50,,BGD,Bangladesh
52,,BRB,Barbados
112,,BLR,Belarus
56,,BEL,Belgium
84,,BLZ,Belize
204,,BEN,Benin
64,,BTN,Bhutan
68,,BOL,"Bolivia, Plurinational State of"
70,,BIH,Bosnia and Herzegovina
72,,BWA,Botswana
76,,BRA,Brazil
96,,BRN,Brunei Darussalam
100,,BGR,Bulgaria
854,,BFA,Burkina Faso
108,,BDI,Burundi
132,,CPV,Cabo Verde
116,,KHM,Cambodia
120,,CMR,Cameroon
124,,CAN,Canada
140,,CAF,Central African Republic
148,,TCD,Chad
152,,CHL,Chile
156,,CHN,China
170,,COL,Colombia
174,,COM,Comoros
178,,COG,Congo
180,,COD,"Congo, Democratic Republic of the"
188,,CRI,Costa Rica
384,,CIV,Côte d'Ivoire
191,,HRV,Croatia
192,,CUB,Cuba
196,,CYP,Cyprus
203,,CZE,Czechia
208,,DNK,Denmark
262,,DJI,Djibouti
212,,DMA,Dominica
214,,DOM,Dominican Republic
218,,ECU,Ecuador
818,,EGY,Egypt
222,,SLV,El Salvador
226,,GNQ,Equatorial Guinea
232,,ERI,Eritrea
233,,EST,Estonia
748,,SWZ,Eswatini
231,,ETH,Ethiopia
242,,FJI,Fiji
246,,FIN,Finland
250,,FRA,France
266,,GAB,Gabon
270,,GMB,Gambia
268,,GEO,Georgia
276,,DEU,Germany
288,,GHA,Ghana
300,,GRC,Greece
308,,GRD,Grenada
320,,GTM,Guatemala
324,,GIN,Guinea
624,,GNB,Guinea-Bissau
328,,GUY,Guyana
332,,HTI,Haiti
340,,HND,Honduras
348,,HUN,Hungary
352,,ISL,Iceland
356,,IND,India
360,,IDN,Indonesia
364,,IRN,"Iran, Islamic Republic of"
368,,IRQ,Iraq
372,,IRL,Ireland
376,,ISR,Israel
380,,ITA,Italy
388,,JAM,Jamaica
392,,JPN,Japan
400,,JOR,Jordan
398,,KAZ,Kazakhstan
404,,KEN,Kenya
296,,KIR,Kiribati
408,,PRK,"Korea, Democratic People's Republic of"
410,,KOR,"Korea, Republic of"
414,,KWT,Kuwait
417,,KGZ,Kyrgyzstan
418,,LAO,Lao People's Democratic Republic
428,,LVA,Latvia
422,,LBN,Lebanon
426,,LSO,Lesotho
430,,LBR,Liberia
434,,LBY,Libya
438,,LIE,Liechtenstein
440,,LTU,Lithuania
442,,LUX,Luxembourg
450,,MDG,Madagascar
454,,MWI,Malawi
458,,MYS,Malaysia
462,,MDV,Maldives
466,,MLI,Mali
470,,MLT,Malta
584,,MHL,Marshall Islands
478,,MRT,Mauritania
480,,MUS,Mauritius
484,,MEX,Mexico
583,,FSM,"Micronesia, Federated States of"
498,,MDA,"Moldova, Republic of"
492,,MCO,Monaco
496,,MNG,Mongolia
499,,MNE,Montenegro
504,,MAR,Morocco
508,,MOZ,Mozambique
104,,MMR,Myanmar
516,,NAM,Namibia
520,,NRU,Nauru
524,,NPL,Nepal
528,,NLD,Netherlands
554,,NZL,New Zealand
558,,NIC,Nicaragua
562,,NER,Niger
566,,NGA,Nigeria
807,,MKD,North Macedonia
578,,NOR,Norway
512,,OMN,Oman
586,,PAK,Pakistan
585,,PLW,Palau
591,,PAN,Panama
598,,PNG,Papua New Guinea
600,,PRY,Paraguay
604,,PER,Peru
608,,PHL,Philippines
616,,POL,Poland
620,,PRT,Portugal
634,,QAT,Qatar
642,,ROU,Romania
643,,RUS,Russian Federation
646,,RWA,Rwanda
659,,KNA,Saint Kitts and Nevis
662,,LCA,Saint Lucia
670,,VCT,Saint Vincent and the Grenadines
882,,WSM,Samoa
674,,SMR,San Marino
678,,STP,Sao Tome and Principe
682,,SAU,Saudi Arabia
686,,SEN,Senegal
688,,SRB,Serbia
690,,SYC,Seychelles
694,,SLE,Sierra Leone
702,,SGP,Singapore
703,,SVK,Slovakia
705,,SVN,Slovenia
90,,SLB,Solomon Islands
706,,SOM,Somalia
710,,ZAF,South Africa
728,,SSD,South Sudan
724,,ESP,Spain
144,,LKA,Sri Lanka
729,,SDN,Sudan
740,,SUR,Suriname
752,,SWE,Sweden
756,,CHE,Switzerland
760,,SYR,Syrian Arab Republic
762,,TJK,Tajikistan
834,,TZA,"Tanzania, United Republic of"
764,,THA,Thailand
626,,TLS,Timor-Leste
768,,TGO,Togo
776,,TON,Tonga
780,,TTO,Trinidad and Tobago
788,,TUN,Tunisia
792,,TUR,Türkiye
795,,TKM,Turkmenistan
798,,TUV,Tuvalu
800,,UGA,Uganda
804,,UKR,Ukraine
784,,ARE,United Arab Emirates
826,,GBR,United Kingdom of Great Britain and Northern Ireland
840,,USA,United States of America
858,,URY,Uruguay
860,,UZB,Uzbekistan
548,,VUT,Vanuatu
862,,VEN,"Venezuela, Bolivarian Republic of"
704,,VNM,Viet Nam
887,,YEM,Yemen
894,,ZMB,Zambia
716,,ZWE,Zimbabwe